transaction_id,timestamp,amount,sender_id,receiver_id,sender_country,receiver_country,device_id,label
T1001,2023-10-26T14:30:00Z,500.00,USER_101,USER_202,USA,USA,DEVICE_XYZ123,0
T1002,2023-10-26T14:35:00Z,15000.00,USER_105,USER_301,RUS,USA,DEVICE_ABC456,1
T1003,2023-10-26T14:45:00Z,250.75,USER_102,USER_203,GBR,FRA,DEVICE_DEF789,0
T1004,2023-10-26T14:50:00Z,50000.00,USER_106,USER_401,CHN,USA,DEVICE_GHI012,1
T1005,2023-10-26T15:00:00Z,1200.00,USER_103,USER_204,USA,GBR,DEVICE_JKL345,0
T1006,2023-10-26T15:05:00Z,300.00,USER_104,USER_205,FRA,FRA,DEVICE_MNO678,0
T1007,2023-10-26T15:10:00Z,25000.00,USER_107,USER_501,RUS,CHN,DEVICE_PQR901,1
T1008,2023-10-26T15:15:00Z,800.50,USER_108,USER_206,USA,GBR,DEVICE_STU234,0
T1009,2023-10-26T15:20:00Z,75.00,USER_109,USER_207,GBR,GBR,DEVICE_VWX567,0
T1010,2023-10-26T15:25:00Z,1500.00,USER_110,USER_208,FRA,USA,DEVICE_YZA890,0
T1011,2023-10-26T15:30:00Z,100000.00,USER_111,USER_601,CHN,RUS,DEVICE_BCD123,1
T1012,2023-10-26T15:35:00Z,450.25,USER_112,USER_209,USA,USA,DEVICE_EFG456,0
T1013,2023-10-26T15:40:00Z,2200.00,USER_113,USER_210,GBR,FRA,DEVICE_HIJ789,0
T1014,2023-10-26T15:45:00Z,600.00,USER_114,USER_211,FRA,GBR,DEVICE_KLM012,0
T1015,2023-10-26T15:50:00Z,950.75,USER_115,USER_212,USA,FRA,DEVICE_NOP345,0
T1016,2023-10-26T15:55:00Z,10000.00,USER_116,USER_701,RUS,USA,DEVICE_QRS678,1
T1017,2023-10-26T16:00:00Z,325.00,USER_117,USER_213,GBR,USA,DEVICE_TUV901,0
T1018,2023-10-26T16:05:00Z,1800.50,USER_118,USER_214,USA,GBR,DEVICE_WXY234,0
T1019,2023-10-26T16:10:00Z,125.00,USER_119,USER_215,FRA,FRA,DEVICE_ZAB567,0
T1020,2023-10-26T16:15:00Z,750.00,USER_120,USER_216,USA,USA,DEVICE_CDE890,0
